Country,pov1981,pov1982,pov1983,pov1984,pov1985,pov1986,pov1987,pov1988,pov1989,pov1990,pov1991,pov1992,pov1993,pov1994,pov1995,pov1996,pov1997,pov1998,pov1999,pov2000,pov2001,pov2002,pov2003,pov2004,pov2005,pov2006,pov2007,pov2008,pov2009,pov2010,pov2011,pov2012,pov2013,pov2014,pov2015,pov2016,pov2017,pov2018,pov2019
Albania,99.91,99.91,99.91,99.91,99.91,99.91,99.91,99.91,99.91,99.91,99.95,99.97,99.95,99.95,99.91,99.91,99.93,99.92,99.88,99.83,99.76,99.62,99.50,99.50,99.43,99.38,99.26,99.02,99.16,99.30,99.46,99.62,99.39,99.13,99.18,99.09,99.22,99.07,98.89
Algeria,98.53,98.57,98.46,98.38,98.26,98.41,98.71,99.03,98.84,99.03,99.32,99.37,99.49,99.61,99.66,99.79,99.88,99.88,99.86,99.85,99.81,99.77,99.74,99.68,99.65,99.64,99.60,99.54,99.48,99.44,99.39,99.31,99.21,99.13,99.06,99.01,99.02,98.99,98.99
Angola,98.31,98.47,98.46,98.32,98.32,98.32,98.32,98.26,98.38,98.72,98.77,98.91,99.43,99.43,99.24,99.14,99.08,99.02,99.04,99.08,99.10,99.10,99.23,99.30,99.26,99.34,99.41,99.57,99.71,99.69,99.68,99.62,99.62,99.60,99.60,99.62,99.63,99.65,99.68
Argentina (Urban),78.98,78.98,76.86,75.88,77.83,75.18,79.04,82.30,86.28,88.69,89.48,87.67,88.14,88.41,88.70,88.65,87.69,88.31,89.31,89.45,90.60,95.01,91.46,90.04,88.67,86.18,85.54,84.49,83.34,82.84,80.76,80.78,80.80,82.86,81.55,81.72,79.84,83.75,84.24
Armenia,96.69,96.50,96.45,96.21,95.97,96.05,96.51,96.86,95.94,96.60,97.33,99.11,99.23,99.11,98.87,98.73,98.48,99.63,99.63,99.65,99.73,99.66,99.58,99.04,98.77,99.68,99.43,99.64,99.83,99.66,99.59,99.32,99.60,98.96,98.59,99.49,98.80,98.27,99.53
Australia,52.35,50.93,50.18,50.60,51.34,50.68,50.68,50.35,49.67,49.78,51.79,53.02,54.12,55.25,55.05,54.12,53.05,51.17,49.03,47.55,46.68,45.96,44.49,38.75,35.28,33.51,28.69,26.34,26.84,25.00,22.69,21.50,21.24,20.24,19.75,19.24,18.99,18.25,18.00
Austria,35.50,32.24,28.49,30.00,28.74,27.74,25.25,25.46,25.59,25.71,26.38,26.30,27.98,28.93,37.75,31.11,30.00,28.49,27.38,25.66,25.20,25.20,24.44,21.72,22.97,22.30,21.69,20.20,19.75,18.34,20.16,19.98,18.16,19.34,19.59,17.17,17.19,17.55,17.44
Azerbaijan,92.64,91.50,91.26,90.42,90.09,89.85,88.82,87.20,90.26,92.84,93.07,96.49,98.92,99.67,99.67,99.60,99.47,99.30,99.12,98.40,98.79,99.03,98.86,98.53,98.26,95.61,93.20,92.37,91.51,94.65,90.66,90.48,86.63,85.97,86.04,87.62,87.95,87.73,87.38
Bangladesh,99.99,99.99,99.99,99.99,99.99,99.99,99.99,99.99,99.99,99.99,99.99,99.98,99.97,99.94,99.92,99.92,99.94,99.95,99.95,99.97,99.96,99.95,99.93,99.92,99.92,99.91,99.90,99.89,99.88,99.88,99.86,99.86,99.85,99.84,99.83,99.83,99.79,99.74,99.71
Belarus,99.99,99.99,99.99,99.99,99.99,99.99,99.99,99.99,99.99,99.99,99.99,99.99,99.99,99.14,98.90,98.65,99.92,99.88,99.94,99.85,99.71,99.62,99.77,99.70,98.99,98.31,96.48,96.53,96.21,93.05,93.99,91.34,87.79,85.90,89.79,91.52,90.16,87.61,85.25
Belgium,62.74,61.00,61.00,60.73,58.00,57.40,56.33,54.47,52.35,49.61,47.49,45.96,43.49,41.15,33.69,33.32,33.48,30.72,29.62,27.24,27.89,28.65,29.39,26.92,25.64,25.65,25.39,23.11,22.52,22.97,24.91,22.58,22.71,22.78,21.97,22.20,20.72,19.24,18.85
Belize,98.40,98.57,98.71,98.71,98.95,98.73,98.42,98.33,98.17,97.50,96.95,95.51,95.55,95.94,90.15,96.53,97.19,96.27,95.47,95.07,94.75,94.35,94.35,94.49,94.88,95.12,95.12,95.53,95.47,95.47,95.12,95.12,94.98,95.12,94.90,94.76,95.12,95.76,95.79
